timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672123077610,5383,Get user,200,OK,Thread Group 1-19,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48980,5383,0,0
1672123077122,5930,New user,201,Created,Thread Group 1-18,text,true,,1132,1252,20,20,http://test-api.d6.dev.devcaz.com/v2/players,5930,0,0
1672123081259,2040,Authorisation User,200,OK,Thread Group 1-3,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2040,0,0
1672123082996,859,Authorisation User,200,OK,Thread Group 1-19,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,859,0,0
1672123078511,5506,Get an other user,404,Not Found,Thread Group 1-12,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,5506,0,0
1672123083052,968,Authorisation User,200,OK,Thread Group 1-18,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,968,0,0
1672123077609,6612,Get an other user,404,Not Found,Thread Group 1-6,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,6612,0,0
1672123083856,365,Get Token,200,OK,Thread Group 1-19,text,true,,1076,578,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,365,0,0
1672123078453,5993,Get user,200,OK,Thread Group 1-16,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48982,5993,0,0
1672123078717,6033,Get user,200,OK,Thread Group 1-2,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48971,6033,0,0
1672123078470,6280,Get user,200,OK,Thread Group 1-13,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48969,6280,0,0
1672123084019,731,Authorisation User,200,OK,Thread Group 1-12,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,731,0,0
1672123084222,529,Authorisation User,200,OK,Thread Group 1-6,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,529,0,0
1672123078920,6100,Get user,200,OK,Thread Group 1-7,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48972,6100,0,0
1672123084447,573,Authorisation User,200,OK,Thread Group 1-16,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,573,0,0
1672123078988,6320,Get user,200,OK,Thread Group 1-9,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48982,6320,0,0
1672123084751,575,Authorisation User,200,OK,Thread Group 1-13,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,574,0,0
1672123084751,623,Authorisation User,200,OK,Thread Group 1-2,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,623,0,0
1672123085021,765,Authorisation User,200,OK,Thread Group 1-7,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,765,0,0
1672123079185,6601,New user,201,Created,Thread Group 1-8,text,true,,1141,1269,20,20,http://test-api.d6.dev.devcaz.com/v2/players,6601,0,0
1672123077609,8177,Get an other user,404,Not Found,Thread Group 1-10,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,8177,0,0
1672123079630,6156,Get an other user,404,Not Found,Thread Group 1-15,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,6156,0,0
1672123079596,6409,Get user,200,OK,Thread Group 1-14,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48976,6409,0,0
1672123079512,6493,Get user,200,OK,Thread Group 1-5,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48975,6493,0,0
1672123080049,6261,Get user,200,OK,Thread Group 1-17,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48978,6261,0,0
1672123086088,391,Get Token,200,OK,Thread Group 1-5,text,true,,1076,578,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,391,0,0
1672123085787,706,Authorisation User,200,OK,Thread Group 1-8,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,706,0,0
1672123085787,710,Authorisation User,200,OK,Thread Group 1-15,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,710,0,0
1672123085787,795,Authorisation User,200,OK,Thread Group 1-10,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,795,0,0
1672123086006,577,Authorisation User,200,OK,Thread Group 1-14,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,577,0,0
1672123080973,5811,Get an other user,404,Not Found,Thread Group 1-20,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,5811,0,0
1672123080741,6043,Get user,200,OK,Thread Group 1-11,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48979,6043,0,0
1672123081259,5531,Get user,200,OK,Thread Group 1-4,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48981,5531,0,0
1672123086311,680,Authorisation User,200,OK,Thread Group 1-17,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,680,0,0
